Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Цена,Ссылка на изображение,Ссылка,Рейтинг,Кол-во отзывов,Код продукта

dns,смартфоны,realme,6i,белый,4,128,13999,https://c.dns-shop.ru/thumb/st1/fit/200/200/b5f69b2ded95aebcc5cf4685e335f3c1/861a883f79c8ee6a94e529acbc2f0f74b7b3c058e41e07ee98a1b16da73b8a59.jpg,https://www.dns-shop.ru/product/854dc0c06e3b1b80/65-smartfon-realme-6i-128-gb-belyj/,4.5,97,1647768
dns,смартфоны,realme,6i,зеленый,4,128,13890,https://c.dns-shop.ru/thumb/st1/fit/200/200/5c9823bfe7a27c687fd3d565d5d498e9/a535d98adb55445504fc5f83e9df2aade4cc1fcd05aed0a8005cdb0c133d9c6a.jpg,https://www.dns-shop.ru/product/b5cb85606e3b1b80/65-smartfon-realme-6i-128-gb-zelenyj/,4.5,97,1647769
мтс,смартфоны,realme,6i,white,4,128,13990,https://mtscdn.ru/upload/iblock/9e5/smartfon_realme_6i_4_128gb_white_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-realme-6i-4-128gb-white,5.0,5,none

dns,смартфоны,realme,c3,красный,3,64,9999,https://c.dns-shop.ru/thumb/st4/fit/200/200/a23bbbd8b5263397e9b966a6f12f3ba4/e80924477921b6f16fb68af7a77f373f79c2752fe1bb91de6423015a8a8fc720.jpg,https://www.dns-shop.ru/product/96e2c63b5d003332/652-smartfon-realme-c3-64-gb-krasnyj/,4.5,527,1641174
dns,смартфоны,realme,c3,серый,3,64,9999,https://c.dns-shop.ru/thumb/st4/fit/200/200/7b46b20afe03290ca55403ee62497469/cd2341a1f7d0bc6efb9d41876a125cc7a073b963e60ca454fcaedda7104a5806.jpg,https://www.dns-shop.ru/product/bf256b6f79643332/652-smartfon-realme-c3-64-gb-seryj/,4.5,527,1653023
dns,смартфоны,realme,c3,синий,3,64,9999,https://c.dns-shop.ru/thumb/st4/fit/200/200/3937a0ca2f7bb3ebf94885a0689ca1c0/f2f859ba0028e5c6fa9b3f6dbcf196b50645bb3a0c3a3a21d63d65c4e4727cde.jpg,https://www.dns-shop.ru/product/848e429c5d003332/652-smartfon-realme-c3-64-gb-sinij/,4.5,527,1641173
мтс,смартфоны,realme,c3,grey,3,64,9990,https://mtscdn.ru/upload/iblock/568/11.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-realme-c3-3-64gb-grey,5.0,5,none
мвидео,смартфоны,realme,c3,frozen blue,3,64,9990,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-frozen-blue-rmx2020-30048601,4.8,25,30048601
мвидео,смартфоны,realme,c3,volcano grey,3,64,9990,https://img.mvideo.ru/pdb/small_pic/480/30049951b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-volcano-grey-rmx2020-30049951,4.9,10,30049951
мвидео,смартфоны,realme,c3,blazing red,3,64,9990,https://img.mvideo.ru/pdb/small_pic/480/30048602b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-blazing-red-rmx2020-30048602,5.0,6,30048602

мтс,смартфоны,oppo,a53,black,4,64,12990,/images/placeholder-bg.svg,https://www.shop.mts.ru/product/smartfon-oppo-a53-4-64gb-black,5.0,5,none
мтс,смартфоны,oppo,a53,mint,4,64,12990,/images/placeholder-bg.svg,https://www.shop.mts.ru/product/smartfon-oppo-a53-4-64gb-mint,5.0,5,none
dns,смартфоны,oppo,a53,зеленый,4,64,12999,https://c.dns-shop.ru/thumb/st4/fit/200/200/390eb562f058ce65c8ca80e240a4aa58/74047a633db7113069957a3b26a490dd64b29cc39fec25c969de6ba07e8537e1.jpg,https://www.dns-shop.ru/product/37c913f9fed31b80/65-smartfon-oppo-a53-64-gb-zelenyj/,4.0,19,4716215
dns,смартфоны,oppo,a53,синий,4,64,10490,https://c.dns-shop.ru/thumb/st4/fit/200/200/05ff8ad38602b152d351683b2ac64299/7fd9b4d9912fbb0189e9af6eb4ab332fe966e9246e9a9090093aae0d9c2fbc20.jpg,https://www.dns-shop.ru/product/1749ce2efed31b80/65-smartfon-oppo-a53-64-gb-sinij/,4.0,19,4716214
dns,смартфоны,oppo,a53,черный,4,64,12999,https://c.dns-shop.ru/thumb/st4/fit/200/200/5529032d7ca22610730ede4e52f3b570/8a735cb124ca0b5ef5f64e360afe142baa2f9f977ac58523d456d755b7816d3e.jpg,https://www.dns-shop.ru/product/f2d3ce7ffed21b80/65-smartfon-oppo-a53-64-gb-cernyj/,4.0,19,4716213
мвидео,смартфоны,oppo,a53,fancy blue,4,64,8890,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595,0.0,0,30053595
мвидео,смартфоны,oppo,a53,electric black,4,64,8990,https://img.mvideo.ru/pdb/small_pic/480/30053593b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-electric-black-cph2127-30053593,4.7,7,30053593

мвидео,смартфоны,nokia,5.3,charcoal,4,64,14990,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,https://www.mvideo.ru/products/smartfon-nokia-53-464gb-charcoal-ta-1234-30050275,5.0,2,30050275
мвидео,смартфоны,nokia,5.3,cyan,4,64,14990,https://img.mvideo.ru/pdb/small_pic/480/30050547b.jpg,https://www.mvideo.ru/products/smartfon-nokia-53-464gb-cyan-ta-1234-30050547,5.0,2,30050547
dns,смартфоны,nokia,5.3,голубой,4,64,13499,https://c.dns-shop.ru/thumb/st4/fit/200/200/423a33d47080d30ef6ada83979776b11/319c79168d545a3d5c61d956b29c9b15ba87a7d5e45433568dafae98775336cb.jpg,https://www.dns-shop.ru/product/ac108e3b73dc3332/655-smartfon-nokia-53-64-gb-goluboj/,4.5,40,1651568
dns,смартфоны,nokia,5.3,золотистый,4,64,13499,https://c.dns-shop.ru/thumb/st1/fit/200/200/254f71b948904947a9c9d83e20221e57/537224b6afc95dd7cc585aca70948642246d06a5f335feaf762d41bf77935ea6.jpg,https://www.dns-shop.ru/product/e29b9f5973dc3332/655-smartfon-nokia-53-64-gb-zolotistyj/,4.5,40,1651571
dns,смартфоны,nokia,5.3,черный,4,64,10499,https://c.dns-shop.ru/thumb/st1/fit/200/200/98fcba701ff8e1a980f62f5468d606b2/e7175acb1476da116b3e0247c1bffd7b73ee05980759347b70bcb55ad23f8125.jpg,https://www.dns-shop.ru/product/c8dbcb7b73dc3332/655-smartfon-nokia-53-64-gb-cernyj/,4.5,40,1651570
мтс,смартфоны,nokia,5.3,black,4,64,13490,https://mtscdn.ru/upload/iblock/41c/nokia_5.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-black,0,0,none
мтс,смартфоны,nokia,5.3,turquoise,4,64,13490,https://mtscdn.ru/upload/iblock/a31/nokia_5.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-turquoise,0,0,none

dns,смартфоны,realme,6,белый,4,128,16999,https://c.dns-shop.ru/thumb/st1/fit/200/200/48073ef4d3cc79903f9964e0066fd918/6fd26fbdfec2fbe57e535ce41c69334e7a1e9fe6ea3db785c528bb4271c7f637.jpg,https://www.dns-shop.ru/product/370dbc746e3c1b80/65-smartfon-realme-6-4128-gb-belyj/,4.5,203,1647771
dns,смартфоны,realme,6,синий,4,128,16999,https://c.dns-shop.ru/thumb/st4/fit/200/200/c49aae76ad7629f9b51cbe6c4f9a3901/f882590e9e929937b30fa9df65d9bc1818c2ef6fd8ee35fe8af9222099267553.jpg,https://www.dns-shop.ru/product/76b595e16e3c1b80/65-smartfon-realme-6-4128-gb-sinij/,4.5,203,1647773
мтс,смартфоны,realme,6,comet blue,4,128,16990,https://mtscdn.ru/upload/iblock/a74/smartfon_realme_6_4_128gb_comet_blue_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-realme-6-4-128gb-comet-blue,5.0,5,none
мвидео,смартфоны,realme,6,comet blue,4,128,16990,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,https://www.mvideo.ru/products/smartfon-realme-6-4128gb-comet-blue-rmx2001-30048607,4.9,12,30048607
мвидео,смартфоны,realme,6,comet white,4,128,16990,https://img.mvideo.ru/pdb/small_pic/480/30048608b.jpg,https://www.mvideo.ru/products/smartfon-realme-6-4128gb-comet-white-rmx2001-30048608,5.0,6,30048608

dns,смартфоны,realme,6,белый,8,128,18999,https://c.dns-shop.ru/thumb/st1/fit/200/200/48073ef4d3cc79903f9964e0066fd918/6fd26fbdfec2fbe57e535ce41c69334e7a1e9fe6ea3db785c528bb4271c7f637.jpg,https://www.dns-shop.ru/product/e45bf3746e3c1b80/65-smartfon-realme-6-8128-gb-belyj/,4.5,203,1647777
dns,смартфоны,realme,6,синий,8,128,18999,https://c.dns-shop.ru/thumb/st4/fit/200/200/c49aae76ad7629f9b51cbe6c4f9a3901/f882590e9e929937b30fa9df65d9bc1818c2ef6fd8ee35fe8af9222099267553.jpg,https://www.dns-shop.ru/product/b7d512de6e3c1b80/65-smartfon-realme-6-8128-gb-sinij/,4.5,203,1647776
мвидео,смартфоны,realme,6,comet blue,8,128,18990,https://img.mvideo.ru/pdb/small_pic/480/30048609b.jpg,https://www.mvideo.ru/products/smartfon-realme-6-8128gb-comet-blue-rmx2001-30048609,4.7,20,30048609
мвидео,смартфоны,realme,6,comet white,8,128,18990,https://img.mvideo.ru/pdb/small_pic/480/30048620b.jpg,https://www.mvideo.ru/products/smartfon-realme-6-8128gb-comet-white-rmx2001-30048620,4.9,8,30048620

dns,смартфоны,xiaomi,redmi note 8 pro,белый,6,64,18399,https://c.dns-shop.ru/thumb/st1/fit/200/200/d4c4d16ce659a5a930eae4ef8313ce9f/62f8eb61cab646e16e941da8ff38e75654dd59ec8acb26e1e95c4b6e2e375de8.jpg,https://www.dns-shop.ru/product/fa15db2bd3933332/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-belyj/,4.5,2326,1394638
dns,смартфоны,xiaomi,redmi note 8 pro,зеленый,6,64,18399,https://c.dns-shop.ru/thumb/st1/fit/200/200/dd8017c6c0b12bf8fa04a9c4bcc7cf2d/8e66298df43603b23b5e9c9021dc2d84324817d716c1ecc7630292f217132d42.jpg,https://www.dns-shop.ru/product/d156a9c0d3931b80/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-zelenyj/,4.5,2326,1394637
dns,смартфоны,xiaomi,redmi note 8 pro,оранжевый,6,64,18399,https://c.dns-shop.ru/thumb/st1/fit/200/200/1d1ca58e7477778279b757450108d469/38c0b357318c158e3020924a605ef996c21349ee5348adbd5c8cec1fe045d406.jpg,https://www.dns-shop.ru/product/695ca4f2dae63332/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-oranzevyj/,4.5,2326,1695611
dns,смартфоны,xiaomi,redmi note 8 pro,серый,6,64,18399,https://c.dns-shop.ru/thumb/st1/fit/200/200/eedfa7af6a77045f73f2a34b62f48788/05a7e7020e1e2bd418ec143206330fac1b9e16a7ca1655a1b0436c5053566d76.jpg,https://www.dns-shop.ru/product/9730127ed3931b80/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-seryj/,4.5,2326,1394634
dns,смартфоны,xiaomi,redmi note 8 pro,синий,6,64,18399,https://c.dns-shop.ru/thumb/st1/fit/200/200/dd8017c6c0b12bf8fa04a9c4bcc7cf2d/8e66298df43603b23b5e9c9021dc2d84324817d716c1ecc7630292f217132d42.jpg,https://www.dns-shop.ru/product/2c36a5b2dffc1b80/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-sinij/,4.5,2326,1399465
мтс,смартфоны,xiaomi,redmi note 8 pro,orange,6,64,18990,https://mtscdn.ru/upload/iblock/df1/smartfon_xiaomi_redmi_note_8_pro_6_64gb_orange_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-orange,4.5,4,none
мтс,смартфоны,xiaomi,redmi note 8 pro,orange,6,64,18990,https://mtscdn.ru/upload/iblock/df1/smartfon_xiaomi_redmi_note_8_pro_6_64gb_orange_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-orange,4.5,4,none
мтс,смартфоны,xiaomi,redmi note 8 pro,blue,6,64,18990,https://mtscdn.ru/upload/iblock/14e/smartfon_xiaomi_redmi_note_8_pro_6_128gb_blue.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-64gb-blue,4.3,4,none
мвидео,смартфоны,xiaomi,redmi note 8 pro,forest green,6,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-8-pro-664gb-forest-green-30046135,4.7,52,30046135
мвидео,смартфоны,xiaomi,redmi note 8 pro,mineral grey,6,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30046136b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-8-pro-664gb-mineral-grey-30046136,4.6,43,30046136
мвидео,смартфоны,xiaomi,redmi note 8 pro,pearl white,6,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30046134b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-8-pro-664gb-pearl-white-30046134,4.8,27,30046134
мвидео,смартфоны,xiaomi,redmi note 8 pro,ocean blue,6,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30046137b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-8-pro-664gb-ocean-blue-30046137,4.7,23,30046137
мвидео,смартфоны,xiaomi,redmi note 8 pro,coral orange,6,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30052601b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-note-8-pro-664gb-coral-orange-30052601,0.0,0,30052601

dns,смартфоны,samsung,galaxy a51,белый,4,64,18849,https://c.dns-shop.ru/thumb/st1/fit/200/200/cc85213796aca6b07a7ea4065a0332cc/c8502cc400fb40292ac4142d7796aeda8caa9cc97aff1e11f01acbdf8267a06b.jpg,https://www.dns-shop.ru/product/fbfb791635bf3332/65-smartfon-samsung-galaxy-a51-64-gb-belyj/,4.5,1167,1623519
dns,смартфоны,samsung,galaxy a51,голубой,4,64,18849,https://c.dns-shop.ru/thumb/st1/fit/200/200/7b5559ca91ffa9363c6adb3509f01122/464830cd00a64bf38784daec1746fe28b63471bf7222a4d0151a52fcabc76d12.jpg,https://www.dns-shop.ru/product/7824f31cd6483332/65-smartfon-samsung-galaxy-a51-64-gb-goluboj/,4.5,1167,1693711
dns,смартфоны,samsung,galaxy a51,красный,4,64,18849,https://c.dns-shop.ru/thumb/st1/fit/200/200/41db62183711f3a410f8ec7a06f73410/5263fb4ee9db5cd9ed29d9dedf32d29932f99921172187eeddf4d51a0c09f1ae.jpg,https://www.dns-shop.ru/product/13137c0135c03332/65-smartfon-samsung-galaxy-a51-64-gb-krasnyj/,4.5,1167,1623520
dns,смартфоны,samsung,galaxy a51,черный,4,64,18849,https://c.dns-shop.ru/thumb/st1/fit/200/200/41db62183711f3a410f8ec7a06f73410/5263fb4ee9db5cd9ed29d9dedf32d29932f99921172187eeddf4d51a0c09f1ae.jpg,https://www.dns-shop.ru/product/bb628e0335be3332/65-smartfon-samsung-galaxy-a51-64-gb-cernyj/,4.5,1167,1623517
